Species	Grid_ID	Num_Seq	Num_Muts	GD_Pi	BP
Craugastor_crassidigitus	2006	2	19	0.0307443365695793	1335
Craugastor_fitzingeri	1915	13	27	0.0117997824898213	9996
Craugastor_fitzingeri	1916	6	42	0.0214109834997173	4121
Craugastor_fitzingeri	2004	2	35	0.0566343042071197	1277
Craugastor_fitzingeri	2005	4	45	0.0437093171674444	2625
Craugastor_fitzingeri	2006	4	9	0.00712972689075630	2782
Craugastor_fitzingeri	2094	2	0	0	1251
Craugastor_raniformis	1916	4	22	0.0172158130341123	2663
Craugastor_tabasarae	1915	3	164	0.153127917833800	2142
Craugastor_talamancae	2006	3	2	0.00186741363211951	2142
Cryptotriton_veraepacis	2093	6	2	0.00277056277056277	2310
Cynops_cyanurus	2501	2	0	0	614
Cynops_ensicauda	2507	21	57	0.00782938942448144	23961
Cynops_ensicauda	2508	19	131	0.0284914740839829	21679
Cynops_pyrrhogaster	2598	3	25	0.0146070698217938	3423
Cynops_pyrrhogaster	2688	24	111	0.0271818516683814	27384
Cynops_pyrrhogaster	2689	28	152	0.0463762873929397	31948
Cynops_pyrrhogaster	2690	12	160	0.0301835179135793	13692
Cynops_pyrrhogaster	2691	2	5	0.00438212094653812	2282
Cynops_pyrrhogaster	2779	6	96	0.0439380660239556	6846
Cynops_pyrrhogaster	2780	27	170	0.0504131178977805	30807
Cynops_pyrrhogaster	2781	8	30	0.0102040816326531	9128
Cynops_pyrrhogaster	2871	5	14	0.00701139351446100	5705
Cynops_pyrrhogaster	2962	2	100	0.0876424189307625	2282
Dendrobates_auratus	2005	3	0	0	1155
Dendrobates_tinctorius	1831	6	26	0.0119630609381435	4162
Dendrobates_tinctorius	1832	8	10	0.00486519170121161	6303
Dendropsophus_branneri	1476	2	4	0.00653594771241830	1224
Dendropsophus_branneri	1477	14	14	0.00606909430438841	8568
Dendropsophus_nanus	751	2	0	0	770
Discoglossus_galganoi	2744	7	2	0.00160589002177861	2578
Discoglossus_galganoi	2745	2	0	0	712
Discoglossus_galganoi	2834	16	4	0.00354176844162189	7266
Discoglossus_galganoi	2835	3	1	0.00187265917602996	1068
Discoglossus_galganoi	2924	3	0	0	1068
Discoglossus_jeanneae	2744	11	0	0	3973
Discoglossus_jeanneae	2745	4	0	0	1482
Discoglossus_jeanneae	2835	27	3	0.000623014106160175	9699
Discoglossus_montalentii	2838	19	32	0.00889943190875760	16112
Discoglossus_pictus	2655	2	6	0.0156250000000000	768
Discoglossus_pictus	2748	2	19	0.0494791666666667	768
Discoglossus_pictus	2749	3	19	0.0329861111111111	1152
Discoglossus_pictus	2836	2	3	0.00781250000000000	769
Discoglossus_sardus	2838	5	12	0.0170411563400576	1809
Duttaphrynus_melanostictus	2142	2	0	0	982
Echinotriton_andersoni	2507	3	10	0.00585823081429408	3417
Echinotriton_andersoni	2508	2	0	0	2282
Eleutherodactylus_atkinsi	2277	6	12	0.0117877430549983	3404
Eleutherodactylus_casparii	2365	3	1	0.000927913337930928	2206
Eleutherodactylus_cooki	2451	2	0	0	1154
Eleutherodactylus_coqui	2189	41	70	0.0315276535051772	26476
Eleutherodactylus_coqui	2257	11	0	0	7106
Eleutherodactylus_coqui	2279	10	15	0.00554694229112834	6450
Eleutherodactylus_cubanus	2276	11	3	0.00161354809286899	6248
Eleutherodactylus_etheridgei	2277	7	1	0.00128199475485104	3485
Eleutherodactylus_guanahacabibes	2364	5	28	0.0213113674080660	3727
Eleutherodactylus_guanahacabibes	2365	2	1	0.00131926121372032	1527
Eleutherodactylus_iberia	2277	95	54	0.0224380255323718	46183
Eleutherodactylus_jaumei	2276	17	17	0.0119969641102075	9032
Eleutherodactylus_orientalis	2277	26	78	0.0717125823903355	13210
Eleutherodactylus_planirostris	2275	3	9	0.00802719886965736	2274
Eleutherodactylus_planirostris	2276	11	6	0.00206648365342929	8081
Eleutherodactylus_planirostris	2365	23	70	0.0368830494677430	17505
Eleutherodactylus_planirostris	2456	7	5	0.00271434300876219	5265
Eleutherodactylus_planirostris	3105	3	0	0	2227
Eleutherodactylus_rogersi	2367	4	1	0.000653037852241203	3067
Eleutherodactylus_rogersi	2456	2	2	0.00260416666666667	1537
Eleutherodactylus_tonyi	2276	6	21	0.00931797979035492	4320
Eleutherodactylus_tonyi	2277	4	3	0.00195058517555267	3076
Eleutherodactylus_varleyi	2365	3	3	0.00224215246636771	2676
Ensatina_eschscholtzii	2715	267	320	0.0821393675536067	180169
Ensatina_eschscholtzii	2716	32	138	0.0549842306060265	21108
Ensatina_eschscholtzii	2804	7	74	0.0317096129508290	4410
Ensatina_eschscholtzii	2805	35	207	0.0703240003294843	19266
Ensatina_eschscholtzii	2895	4	20	0.0191262722097637	2372
Epipedobates_machalilla	1646	2	1	0.00259740259740260	770
Euphlyctis_cyanophlyctis	1956	2	3	0.00531914893617021	1128
Euphlyctis_cyanophlyctis	2408	6	5	0.00295508274231679	3384
Euproctus_montanus	2838	193	87	0.0236825370604634	124099
Eupsophus_calcaratus	567	3	19	0.0329004329004329	1155
Eupsophus_insularis	657	2	0	0	770
Eupsophus_migueli	567	2	0	0	770
Eupsophus_roseus	298	2	2	0.00519480519480520	770
Eupsophus_vertebralis	567	2	1	0.00259740259740260	770
Eurycea_longicauda	2544	2	1	0.00151745068285281	1351
Eurycea_longicauda	2632	8	20	0.0126402012908982	5338
Eurycea_longicauda	2633	13	113	0.0585931464397260	8633
Eurycea_longicauda	2634	13	37	0.0204902459213925	8632
Eurycea_longicauda	2721	3	88	0.0890237733940314	1977
Eurycea_longicauda	2722	6	23	0.0147698533131007	3987
Eurycea_longicauda	2723	2	62	0.0940819423368741	1318
Eurycea_longicauda	2724	6	12	0.00789074355083460	3987
Eurycea_longicauda	2725	2	2	0.00321027287319422	1282
Eurycea_longicauda	2814	7	5	0.00245682491509502	4646
Eurycea_lucifuga	2544	3	7	0.00708143651997977	1977
Eurycea_lucifuga	2633	6	4	0.00202326757713708	3987
Eurycea_lucifuga	2634	14	22	0.00537610052169586	12455
Eurycea_lucifuga	2721	3	0	0	1977
Eurycea_lucifuga	2722	3	19	0.0198037620726125	1956
Eurycea_lucifuga	2723	2	28	0.0424886191198786	1318
Eurycea_lucifuga	2724	2	22	0.0333839150227618	1318
Eurycea_lucifuga	2725	3	34	0.0343955488113303	1977
Eurycea_lucifuga	2814	2	29	0.0440060698027314	1318
Eurycea_sosorum	2541	3	23	0.0199275362318841	2557
Eurycea_tonkawae	2541	5	15	0.0225131800795221	1722
Eurycea_tridentifera	2541	3	0	0	1015
Fejervarya_iskandari	1512	2	1	0.00169204737732657	1182
Fejervarya_iskandari	1513	2	2	0.00288600288600289	1386
Fejervarya_limnocharis	1512	2	5	0.00846023688663283	1182
Fejervarya_limnocharis	1513	2	5	0.00761035007610350	1350
