kingdom	phylum	class	order	family	genus	Species
Animalia	Chordata	Reptilia	Squamata	Viperidae	Vipera	Vipera berus
Animalia	Chordata	Reptilia	Squamata	Viperidae	Vipera	Vipera berus
Animalia	Chordata	Reptilia	Squamata	Lacertidae	Lacerta	Lacerta agilis
Plantae	Bryophyta	Bryopsida	Hypnales	Hylocomiaceae	Pleurozium	Pleurozium schreberi
Plantae	Bryophyta	Sphagnopsida	Sphagnales	Sphagnaceae	Sphagnum	Sphagnum fallax
Plantae	Bryophyta	Bryopsida	Hypnales	Hypnaceae	Hypnum	Hypnum cupressiforme
Plantae	Bryophyta	Bryopsida	Leucodontales	Neckeraceae	Neckera	Neckera complanata
Plantae	Marchantiophyta	Jungermanniopsida	Metzgeriales	Metzgeriaceae	Metzgeria	Metzgeria furcata
Plantae	Charophyta	Zygnematophyceae	Zygnematales	Desmidiaceae	Euastrum	Euastrum binale
Plantae	Charophyta	Zygnematophyceae	Zygnematales	Mesotaeniaceae	Cylindrocystis	Cylindrocystis brebissonii
Plantae	Charophyta	Zygnematophyceae	Zygnematales	Desmidiaceae	Euastrum	Euastrum binale
Plantae	Charophyta	Zygnematophyceae	Zygnematales	Desmidiaceae	Staurastrum	Staurastrum scabrum
Plantae	Charophyta	Zygnematophyceae	Zygnematales	Desmidiaceae	Staurastrum	Staurastrum paradoxum
Plantae	Charophyta	Zygnematophyceae	Zygnematales	Desmidiaceae	Cosmarium	Cosmarium amoenum
Plantae	Charophyta	Zygnematophyceae	Zygnematales	Desmidiaceae	Staurastrum	Staurastrum margaritaceum
Plantae	Charophyta	Zygnematophyceae	Zygnematales	Desmidiaceae	Staurastrum	Staurastrum margaritaceum
Plantae	Charophyta	Zygnematophyceae	Zygnematales	Desmidiaceae	Cosmarium	Cosmarium amoenum
Plantae	Charophyta	Zygnematophyceae	Zygnematales	Desmidiaceae	Staurastrum	Staurastrum paradoxum
Plantae	Charophyta	Zygnematophyceae	Zygnematales	Desmidiaceae	Staurastrum	Staurastrum paradoxum
Plantae	Charophyta	Zygnematophyceae	Zygnematales	Mesotaeniaceae	Mesotaenium	Mesotaenium caldariorum
Plantae	Charophyta	Zygnematophyceae	Zygnematales	Desmidiaceae	Cosmarium	Cosmarium obtusatum
Plantae	Charophyta	Zygnematophyceae	Zygnematales	Desmidiaceae	Cosmarium	Cosmarium turpinii
Plantae	Charophyta	Zygnematophyceae	Zygnematales	Desmidiaceae	Micrasterias	Micrasterias truncata
Plantae	Charophyta	Zygnematophyceae	Zygnematales	Desmidiaceae	Micrasterias	Micrasterias truncata
Plantae	Charophyta	Zygnematophyceae	Zygnematales	Desmidiaceae	Cosmarium	Cosmarium subprotumidum
Plantae	Charophyta	Zygnematophyceae	Zygnematales	Closteriaceae	Closterium	Closterium venus
Plantae	Charophyta	Zygnematophyceae	Zygnematales	Desmidiaceae	Hyalotheca	Hyalotheca dissiliens
Plantae	Charophyta	Zygnematophyceae	Zygnematales	Desmidiaceae	Micrasterias	Micrasterias rotata
Plantae	Charophyta	Zygnematophyceae	Zygnematales	Desmidiaceae	Cosmarium	Cosmarium reniforme
Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Dactylis	Dactylis glomerata
Plantae	Tracheophyta	Equisetopsida	Equisetales	Equisetaceae	Equisetum	Equisetum palustre
Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Phleum	Phleum pratense
Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Dactylis	Dactylis glomerata
Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Sporobolus	Sporobolus townsendii
Plantae	Tracheophyta	Liliopsida	Poales	Poaceae		
Plantae	Tracheophyta	Liliopsida	Alismatales	Hydrocharitaceae	Elodea	Elodea canadensis
Plantae	Tracheophyta	Liliopsida	Alismatales	Hydrocharitaceae	Elodea	Elodea nuttallii
Plantae	Tracheophyta	Magnoliopsida	Lamiales	Orobanchaceae	Lathraea	Lathraea squamaria
Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	Carex	Carex nigra
Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Elymus	Elymus repens
Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Lolium	Lolium perenne
Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Poa	Poa pratensis
Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Festuca	Festuca rubra
Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Molinia	Molinia caerulea
Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Calamagrostis	Calamagrostis epigejos
Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina
Plantae	Tracheophyta	Liliopsida	Alismatales	Potamogetonaceae	Potamogeton	Potamogeton natans
Plantae	Tracheophyta	Liliopsida	Alismatales	Potamogetonaceae	Potamogeton	Potamogeton pectinatus
Plantae	Tracheophyta	Liliopsida	Alismatales	Potamogetonaceae	Potamogeton	Potamogeton praelongus
Plantae	Tracheophyta	Liliopsida	Alismatales	Potamogetonaceae	Potamogeton	Potamogeton lucens
Animalia	Cnidaria	Anthozoa	Actiniaria	Edwardsiidae	Edwardsia	Edwardsia danica
Animalia	Cnidaria	Anthozoa	Zoantharia	Parazoanthidae	Isozoanthus	
Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Pleuronectes	Pleuronectes platessa
Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Pleuronectes	Pleuronectes platessa
Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Pleuronectes	Pleuronectes platessa
Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Pleuronectes	Pleuronectes platessa
Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	Clupea harengus
Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	Clupea harengus
Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	Clupea harengus
Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	Clupea harengus
Animalia	Chordata	Actinopterygii	Gadiformes	Gadidae	Gadus	Gadus morhua
Animalia	Chordata	Actinopterygii	Gadiformes	Gadidae	Gadus	Gadus morhua
Animalia	Chordata	Actinopterygii	Gadiformes	Gadidae	Gadus	Gadus morhua
Animalia	Chordata	Actinopterygii	Gadiformes	Gadidae	Gadus	Gadus morhua
Animalia	Chordata	Actinopterygii	Perciformes	Scombridae	Scomber	Scomber scombrus
Animalia	Chordata	Actinopterygii	Perciformes	Scombridae	Scomber	Scomber scombrus
Animalia	Chordata	Actinopterygii	Perciformes	Scombridae	Scomber	Scomber scombrus
Animalia	Chordata	Actinopterygii	Perciformes	Scombridae	Scomber	Scomber scombrus
Animalia	Chordata	Actinopterygii	Perciformes	Ammodytidae	Ammodytes	Ammodytes tobianus
Animalia	Chordata	Actinopterygii	Perciformes	Ammodytidae	Ammodytes	Ammodytes tobianus
Animalia	Chordata	Actinopterygii	Perciformes	Ammodytidae	Ammodytes	Ammodytes tobianus
Animalia	Chordata	Actinopterygii	Perciformes	Ammodytidae	Ammodytes	Ammodytes tobianus
Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Microstomus	Microstomus kitt
Animalia	Chordata	Actinopterygii	Gadiformes	Gadidae	Merlangius	Merlangius merlangus
Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Hippoglossoides	Hippoglossoides platessoides
Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Limanda	Limanda limanda
Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Sprattus	Sprattus sprattus
Animalia	Chordata	Actinopterygii	Scorpaeniformes	Triglidae	Eutrigla	Eutrigla gurnardus
