occurrenceID	basisOfRecord	eventDate	DM ID	 ID number	DNAmark ID	Institution ID/ ZM no/ Voucher	Danish name	English name	Species name	NCBI Scientific name if different from species name	Stored in	Type (skin, tissue, bone, hair, organ)	Return rest of sample	Sample storage DNAmark	Photo for DNAmark	Institution (Voucher )	Voucher stored as	DNA sample/ Tissue collection code	Collecting_Year	Collecting_Month	Collecting_Day	Collected by	Country	countryCode	Locality	Geographical exact (CoordinatePrecisioninMeters)	decimalLatitude (UTM: N)	decimalLongitude (UTM: E)	geodeticDatum	Identified by (Validator)	Registred by	Sampled at	Sampling_Year	Sampling_Month	Sampling_Day	Sampled by	individualCount	organismQuantity	organismQuantityType	Taxon ID (GBIF) ?	NCBI Taxon ID	scientificName	key GBIF	kingdom	phylum	class	order	family	genus	Species	matchType	confidence	status	taxonRank	Corrected by Christina Lehmkuhl Noer	K-mer file	Mitochondrial/chloroplast genome filename	Genome sequences filename	Alcohol	Skin	Skull	Skeleton	Mounted	Mummy	Freezer	Tissue Coll. Code	Collecting code	Acronym 	Notes	LatLongVariable	P	CatFrom	CatTo	P-gr.	Cruise	Station 	Haul	Gear	N/S	W/E	Depth (meters)	Wire (m)	Further loc. Data	Zmcoll	Etiket	Lab ID	Quantity	fauna district	host	stage	available	Alt Cat Number	Type Status	Type/Count\n[imported]	Type specimen stored in formaldehyd	HABITAT	Isolator	Isol. Date	Personal code 	Isoaltion sample	Isolation unit	Isolation method	STATE	Medium	Temp	DEP	DEPD	Authentic	Toxic	Class	Remarks	subsampled by 	validationStatus	taxon_id	taxonFullName	taxonDanishName	taxonRedListCategory	decimalLatitude	decimalLongitude	accuracy	substrate	vegetationType	associatedTaxa	ecologyNotes	notes	Legit	URI	NO	HAB	DEL	Collected at	Notes	Evt V nummer	oprindelse af materiale	Square	Position
	PreservedSpecimen		DM21	21	DMM21	M16920	Havesyvsover	Garden dormouse	Eliomys quernicus		Ethanole	Tissue	Yes	Frozen	NO	ZM		MoA01-14.07.2004	2003	7	0		Denmark	DK	 Starup Fjordvej 17, 6100 Hadeslev	eksakt koordinat	0	0	WGS84 -?	MA	PK	ZM	2017	6	1	Daniel Klingberg Johansson	1	1	individuals			Eliomys quercinus (Linnaeus, 1766)	2439683	Animalia	Chordata	Mammalia	Rodentia	Gliridae	Eliomys	Eliomys quercinus	FUZZY	92	ACCEPTED	SPECIES					1	0	0	0	0	0	0																																																																							
	PreservedSpecimen		DM22	22	DMM22	M16922	Mosegris	European water vole	Arvicola terrestris		Ethanole	Tissue	Yes	Frozen	NO	ZM		MoA02-31.08.2004	2004	8	29		Denmark	DK	På hjørnet af Hærvejen og Mandelhoved, 4660 Store Heddinge.	eksakt koordinat	0	0	WGS84 -?	MA	PK	ZM	2017	6	1	Daniel Klingberg Johansson	1	1	individuals			Arvicola terrestris (Linnaeus, 1758)	2438491	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Arvicola	Arvicola amphibius	EXACT	98	SYNONYM	SPECIES					0	0	0	0	0	0	1																																																																							
	PreservedSpecimen		DM23	23	DMM23	M17487	Brandmus	Striped field mouse	Apodemus agrarius		DMSO	Tissue	Yes	Frozen	NO	ZM		MoA 01-14.02.2006	2006	2	12		Denmark	DK	Rykkerupvej 2, 4990 Sakskøbing	eksakt koordinat	0	0	WGS84 -?	MA	PK	ZM	2017	6	1	Daniel Klingberg Johansson	1	1	individuals			Apodemus agrarius (Pallas, 1771)	2437761	Animalia	Chordata	Mammalia	Rodentia	Muridae	Apodemus	Apodemus agrarius	EXACT	98	ACCEPTED	SPECIES					1	0	0	0	0	0	0																																																																							
	PreservedSpecimen		DM24	24	DMM24	M17488	Brandmus	Striped field mouse	Apodemus agrarius		DMSO	Tissue	Yes	Frozen	NO	ZM		MoA 03-14.02.2006	2006	2	12		Denmark	DK	Rykkerupvej 2, 4990 Sakskøbing	eksakt koordinat	0	0	WGS84 -?	MA	PK	ZM	2017	6	1	Daniel Klingberg Johansson	1	1	individuals			Apodemus agrarius (Pallas, 1771)	2437761	Animalia	Chordata	Mammalia	Rodentia	Muridae	Apodemus	Apodemus agrarius	EXACT	98	ACCEPTED	SPECIES					1	0	0	0	0	0	0																																																																							
	PreservedSpecimen		DM25	25	DMM25	M2401	Pindsvin	European hedgehog	Erinaceus europaeus		Ethanole	Tissue	Yes	Frozen	NO	ZM		AH02-08.10.2001	2001	10	8		Denmark	DK	Svalmstrupvej 10, 4174 Jystrup.	eksakt koordinat	0	0	WGS84 -?	HJB	PK	ZM	2017	6	1	Daniel Klingberg Johansson	1	1	individuals			Erinaceus europaeus Linnaeus, 1758	5219616	Animalia	Chordata	Mammalia	Erinaceomorpha	Erinaceidae	Erinaceus	Erinaceus europaeus	EXACT	98	ACCEPTED	SPECIES					0	1	0	1	0	0	0																																																																							
	PreservedSpecimen		DM26	26	DMM26	M2403	Almindelig spidsmus	Common shrew	Sorex araneus		Ethanole	Tissue	Yes	Frozen	NO	ZM		AH01.15.10.01	2001	7	6		Denmark	DK	Fanget  af katten på nærliggende grønt område ned til å.	eksakt koordinat	55.883273	12.493117	WGS84 -?	MA	LAK	ZM	2017	6	1	Daniel Klingberg Johansson	1	1	individuals			Sorex araneus Linnaeus, 1758	8316400	Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Sorex	Sorex araneus	EXACT	98	ACCEPTED	SPECIES					1	0	0	0	0	0	0																																																																							
	PreservedSpecimen		DM27	27	DMM27	M2408	Almindelig spidsmus	Common shrew	Sorex araneus		Ethanole	Tissue	Yes	Frozen	NO	ZM		AH11.15.10.01	2001	9	13		Denmark	DK	Fanget  af katten på nærliggende grønt område ned til å.	eksakt koordinat	55.883233	12.49315	WGS84 -?	MA	LAK	ZM	2017	6	1	Daniel Klingberg Johansson	1	1	individuals			Sorex araneus Linnaeus, 1758	8316400	Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Sorex	Sorex araneus	EXACT	98	ACCEPTED	SPECIES					1	0	0	0	0	0	0																																																																							
	PreservedSpecimen		DM28	28	DMM28	M2827	Dværgspidsmus	Eurasian pygmy shrew	Sorex minutus		Ethanole	Organ	Yes	Frozen	NO	ZM		MoA17-24.02.2004	2003	9	2		Denmark	DK	Kystskrænter nord for Kobberø, vest for Gettrup, ud mod Kirk Vig, Nissum Bredning.	eksakt koordinat	0	0	WGS84 -?	MA	PK	ZM	2017	6	1	Daniel Klingberg Johansson	1	1	individuals			Sorex minutus Linnaeus, 1766	7571319	Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Sorex	Sorex minutus	EXACT	98	ACCEPTED	SPECIES					1	0	0	0	0	0	0																																																																							
	PreservedSpecimen		DM29	29	DMM29	M2828	Dværgspidsmus	Eurasian pygmy shrew	Sorex minutus		Ethanole	Tissue	Yes	Frozen	NO	ZM		MoA19-24.02.2004	2003	9	4		Denmark	DK	Kystskrænter nord for Kobberø, vest for Gettrup, ud mod Kirk Vig, Nissum Bredning.	eksakt koordinat	0	0	WGS84 -?	MA	PK	ZM	2017	6	1	Daniel Klingberg Johansson	1	1	individuals			Sorex minutus Linnaeus, 1766	7571319	Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Sorex	Sorex minutus	EXACT	98	ACCEPTED	SPECIES					1	0	0	0	0	0	0																																																																							
	PreservedSpecimen		DM30	30	DMM30	M2837	Vandspidsmus	Eurasian water shrew	Neomys fodiens		Ethanole	Tissue	Yes	Frozen	NO	ZM		MoA01-13.07.2004	2004	6	27		Denmark	DK	Bredden af Kornerup Å ca. 100 m syd for indløbet i Kornerup Sø.	eksakt koordinat	0	0	WGS84 -?	MA	PK	ZM	2017	6	1	Daniel Klingberg Johansson	1	1	individuals			Neomys fodiens (Pennant, 1771)	2435767	Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Neomys	Neomys fodiens	EXACT	98	ACCEPTED	SPECIES					1	0	0	0	0	0	0																																																																							
